iter	Passed	Remaining
0	135	135843
1	136	68182
2	137	45622
3	138	34440
4	139	27664
5	139	23139
6	140	19900
7	140	17473
8	141	15602
9	142	14088
10	142	12844
11	143	11817
12	144	10945
13	144	10197
14	145	9546
15	145	8973
16	146	8466
17	147	8023
18	147	7621
19	148	7260
20	148	6939
21	149	6645
22	150	6382
23	150	6132
24	151	5904
25	151	5691
26	152	5493
27	152	5309
28	153	5139
29	154	4979
30	154	4832
31	155	4695
32	155	4567
33	156	4446
34	157	4333
35	157	4223
36	158	4121
37	158	4024
38	159	3930
39	160	3841
40	160	3762
41	161	3685
42	162	3609
43	162	3536
44	163	3466
45	163	3398
46	164	3334
47	164	3272
48	165	3213
49	166	3160
50	166	3106
51	167	3053
52	168	3003
53	168	2953
54	169	2906
55	169	2860
56	170	2816
57	170	2773
58	171	2732
59	171	2692
60	172	2654
61	173	2619
62	174	2600
63	175	2568
64	176	2538
65	177	2506
66	177	2474
67	178	2444
68	179	2415
69	179	2389
70	180	2360
71	180	2332
72	181	2304
73	182	2277
74	182	2251
75	183	2225
76	183	2200
77	184	2176
78	184	2153
79	186	2141
80	186	2121
81	187	2099
82	187	2075
83	188	2055
84	189	2036
85	189	2018
86	190	1999
87	191	1981
88	191	1963
89	192	1945
90	193	1928
91	193	1911
92	194	1894
93	194	1877
94	195	1860
95	195	1844
96	196	1828
97	197	1813
98	197	1798
99	198	1783
100	198	1769
101	199	1754
102	199	1740
103	200	1726
104	200	1712
105	201	1699
106	202	1686
107	202	1673
108	203	1660
109	203	1649
110	204	1638
111	205	1627
112	205	1615
113	206	1603
114	206	1592
115	207	1580
116	207	1568
117	208	1558
118	208	1547
119	209	1537
120	210	1527
121	210	1516
122	211	1506
123	211	1496
124	212	1486
125	212	1477
126	213	1466
127	213	1457
128	214	1448
129	214	1438
130	215	1430
131	216	1422
132	217	1414
133	217	1406
134	218	1397
135	218	1388
136	219	1380
137	219	1372
138	220	1364
139	220	1356
140	221	1348
141	221	1339
142	222	1332
143	222	1325
144	223	1318
145	224	1310
146	224	1303
147	225	1295
148	225	1288
149	226	1281
150	226	1274
151	227	1268
152	227	1261
153	228	1255
154	229	1249
155	229	1243
156	231	1242
157	231	1236
158	232	1230
159	233	1224
160	233	1217
161	234	1212
162	235	1207
163	235	1201
164	236	1196
165	236	1190
166	237	1184
167	237	1178
168	238	1172
169	239	1166
170	239	1161
171	240	1155
172	240	1150
173	241	1145
174	241	1140
175	242	1134
176	242	1129
177	243	1124
178	244	1119
179	244	1114
180	245	1109
181	245	1104
182	246	1099
183	246	1094
184	247	1090
185	248	1085
186	248	1081
187	249	1076
188	249	1072
189	250	1067
190	251	1063
191	251	1059
192	252	1054
193	253	1051
194	253	1047
195	254	1043
196	255	1039
197	255	1035
198	256	1031
199	256	1027
200	257	1022
201	257	1018
202	258	1014
203	259	1010
204	259	1007
205	260	1003
206	260	999
207	261	995
208	261	991
209	262	987
210	263	983
211	263	979
212	264	976
213	264	972
214	265	968
215	266	965
216	266	962
217	267	959
218	267	955
219	268	952
220	269	948
221	269	945
222	270	941
223	270	938
224	271	934
225	272	931
226	272	928
227	273	925
228	274	922
229	274	919
230	275	916
231	275	912
232	276	910
233	277	907
234	277	904
235	278	901
236	278	897
237	279	894
238	279	891
239	280	888
240	281	885
241	281	882
242	282	878
243	282	875
244	283	872
245	283	869
246	284	867
247	285	864
248	285	861
249	286	858
250	286	855
251	287	853
252	288	850
253	288	847
254	289	844
255	289	842
256	290	839
257	291	837
258	291	835
259	292	832
260	293	830
261	293	827
262	294	824
263	294	821
264	295	819
265	296	816
266	296	814
267	297	811
268	297	809
269	298	806
270	298	804
271	299	801
272	300	798
273	300	796
274	301	793
275	301	791
276	302	789
277	302	786
278	303	784
279	304	782
280	304	779
281	305	777
282	305	774
283	306	772
284	306	769
285	307	767
286	307	764
287	308	762
288	309	760
289	309	758
290	310	756
291	311	754
292	311	752
293	312	750
294	312	747
295	313	745
296	314	743
297	314	741
298	315	739
299	316	737
300	316	735
301	317	733
302	317	731
303	318	729
304	319	727
305	319	724
306	320	722
307	320	720
308	321	719
309	322	717
310	322	715
311	323	713
312	323	711
313	324	709
314	325	707
315	325	705
316	326	703
317	327	701
318	327	699
319	328	698
320	329	696
321	329	694
322	330	692
323	330	690
324	331	688
325	331	686
326	332	684
327	333	682
328	333	680
329	334	678
330	334	676
331	335	674
332	335	672
333	336	670
334	336	668
335	337	666
336	338	665
337	338	663
338	339	661
339	339	659
340	340	657
341	340	655
342	341	654
343	341	652
344	342	650
345	343	648
346	343	646
347	344	644
348	344	643
349	345	641
350	346	640
351	346	638
352	347	636
353	347	634
354	348	633
355	349	631
356	349	629
357	350	628
358	350	626
359	351	624
360	352	623
361	352	621
362	353	620
363	354	618
364	354	617
365	355	615
366	355	613
367	356	611
368	356	610
369	357	609
370	358	607
371	358	605
372	359	604
373	360	602
374	361	602
375	362	600
376	362	599
377	363	597
378	364	596
379	365	596
380	366	595
381	367	593
382	367	592
383	368	591
384	369	589
385	369	588
386	370	587
387	371	585
388	372	584
389	373	583
390	373	582
391	374	580
392	375	579
393	375	577
394	376	576
395	376	574
396	377	573
397	378	571
398	378	570
399	379	568
400	379	567
401	380	565
402	380	564
403	381	562
404	382	561
405	382	559
406	383	558
407	383	556
408	384	555
409	384	554
410	385	552
411	386	551
412	386	549
413	387	548
414	387	546
415	388	545
416	389	543
417	389	542
418	390	541
419	391	540
420	391	538
421	392	537
422	392	535
423	393	534
424	393	532
425	394	531
426	395	530
427	395	529
428	396	527
429	397	526
430	397	525
431	398	523
432	398	522
433	399	520
434	399	519
435	400	518
436	401	516
437	401	515
438	402	514
439	403	512
440	403	511
441	404	510
442	404	508
443	405	507
444	405	506
445	406	504
446	407	504
447	408	503
448	410	503
449	410	502
450	411	500
451	411	499
452	412	498
453	413	497
454	414	496
455	415	495
456	415	493
457	416	492
458	416	491
459	417	490
460	418	488
461	418	487
462	419	486
463	422	487
464	422	486
465	423	485
466	424	484
467	424	482
468	425	481
469	426	480
470	426	479
471	427	478
472	428	477
473	428	475
474	429	474
475	430	473
476	430	472
477	431	470
478	431	469
479	432	468
480	433	467
481	433	466
482	434	465
483	435	463
484	435	462
485	436	461
486	436	460
487	437	458
488	438	457
489	438	456
490	439	456
491	440	455
492	441	453
493	442	452
494	442	451
495	443	450
496	443	449
497	444	448
498	445	447
499	446	446
500	446	445
501	447	443
502	448	442
503	448	441
504	449	440
505	449	439
506	450	438
507	451	437
508	452	436
509	452	435
510	453	433
511	454	432
512	454	431
513	455	430
514	456	429
515	457	428
516	458	427
517	458	426
518	459	425
519	459	424
520	460	423
521	461	422
522	461	421
523	462	419
524	462	418
525	463	417
526	464	416
527	465	416
528	466	415
529	466	413
530	467	412
531	467	411
532	468	410
533	469	409
534	470	408
535	470	407
536	471	406
537	472	405
538	473	404
539	473	403
540	474	402
541	475	401
542	476	400
543	476	399
544	477	398
545	478	397
546	478	396
547	479	395
548	479	394
549	480	393
550	481	391
551	482	391
552	484	391
553	484	390
554	485	389
555	486	388
556	486	387
557	488	386
558	488	385
559	489	384
560	490	383
561	490	382
562	491	381
563	491	380
564	492	379
565	493	378
566	494	377
567	495	376
568	495	375
569	496	374
570	497	373
571	497	372
572	498	371
573	499	370
574	500	370
575	501	369
576	502	368
577	502	367
578	503	366
579	503	364
580	504	363
581	505	363
582	506	362
583	507	361
584	507	360
585	508	359
586	508	358
587	509	356
588	510	355
589	510	354
590	511	353
591	512	352
592	512	351
593	513	350
594	514	349
595	529	358
596	532	359
597	534	359
598	536	359
599	539	359
600	546	362
601	547	361
602	548	361
603	549	360
604	550	359
605	551	358
606	552	357
607	553	356
608	553	355
609	554	354
610	556	354
611	557	353
612	558	352
613	559	351
614	560	350
615	561	349
616	561	348
617	562	347
618	563	346
619	563	345
620	564	344
621	565	343
622	565	342
623	566	341
624	567	340
625	568	339
626	569	338
627	569	337
628	571	337
629	573	336
630	574	336
631	575	335
632	576	334
633	577	333
634	578	332
635	579	331
636	580	330
637	580	329
638	581	328
639	582	327
640	583	326
641	584	325
642	584	324
643	585	323
644	586	322
645	586	321
646	587	320
647	588	319
648	589	318
649	589	317
650	590	316
651	590	315
652	591	314
653	592	313
654	593	312
655	593	311
656	594	310
657	595	309
658	595	308
659	596	307
660	597	306
661	597	305
662	598	304
663	599	303
664	599	302
665	600	301
666	600	299
667	601	298
668	602	297
669	602	296
670	603	295
671	603	294
672	604	293
673	604	292
674	605	291
675	605	290
676	606	289
677	606	288
678	607	287
679	608	286
680	609	285
681	610	284
682	610	283
683	611	282
684	612	281
685	612	280
686	613	279
687	613	278
688	614	277
689	615	276
690	616	275
691	616	274
692	617	273
693	617	272
694	618	271
695	618	270
696	619	269
697	620	268
698	620	267
699	621	266
700	621	265
701	622	264
702	623	263
